,type,size,price,rooms,baths
734,Piso,84,206.000,3 ,1 
735,ARBREDA,100,297.000,0,0
736,Piso,71,177.000,3 ,1 
737,Casa,184,,0,0
738,Casa,215,415.000,4 ,3 
739,Casa,201,160.000,4 ,3 
740,Casa,262,387.600,4 ,1 
741,Casa,370,415.000,4 ,2 
742,Piso,240,203.000,4 ,1 
743,Casa,285,375.000,3 ,2 
744,Piso,243,275.000,4 ,2 
745,Piso,136,213.000,3 ,2 
746,Piso,107,154.260,3 ,1 
747,Casa,319,455.000,5 ,3 
748,Casa,274,330.000,2 ,1 
749,Casa,188,299.000,5 ,2 
750,Piso,73,95.000,3 ,1 
751,Casa,200,750.000,6 ,2 
752,Casa,151,90.000,3 ,1 
753,Planta,100,210.000,3 ,2 
754,Planta,60,159.000,2 ,1 
755,Casa,274,330.000,2 ,1 
756,Piso,119,219.550,3 ,2 
757,Planta,69,212.000,2 ,2 
758,Casa,340,259.000,3 ,5 
759,Casa,130,272.000,4 ,2 
760,Casa,260,340.000,4 ,2 
761,Piso,119,219.550,3 ,2 
762,Piso,119,219.550,3 ,2 
763,Chalet,319,455.000,5 ,3 
764,Casa,140,340.000,4 ,3 
765,Chalet,243,410.500,4 ,2 
766,Casa,124,669.500,4 ,1 
767,Piso,108,170.000,4 ,2 
768,Piso,94,217.500,3 ,2 
769,Dúplex,102,230.000,3 ,3 
770,Casa,410,800.000,6 ,4 
771,Chalet,180,325.000,3 ,1 
772,Piso,103,175.000,3 ,2 
773,Casa,795,330.000,2 ,1 
774,Casa,232,345.000,5 ,3 
775,Casa,238,280.000,5 ,2 
776,Casa,238,280.000,5 ,2 
777,Casa,238,280.000,5 ,2 
778,Casa,238,280.000,5 ,2 
779,Casa,152,309.000,4 ,1 
780,Casa,188,299.000,5 ,2 
781,Casa,238,280.000,5 ,2 
782,Casa,120,272.000,3 ,2 
783,Casa,624,1.295.000,4 ,7 
784,Piso,62,87.000,3 ,1 
785,Piso,119,219.550,3 ,1 
786,Casa,274,330.000,2 ,1 
787,Piso,84,219.550,3 ,2 
788,Casa,300,299.000,5 ,3 
789,Casa,198,285.000,3 ,2 
790,Piso,119,219.550,3 ,2 
791,Casa,200,262.000,7 ,2 
792,Piso,70,115.000,2 ,1 
793,Piso,72,115.000,3 ,1 
794,Piso,85,218.000,4 ,1 
795,Casa,424,330.000,8 ,1 
796,Piso,93,256.000,3 ,2 
797,Casa,238,315.000,5 ,2 
798,Casa,134,407.880,6 ,2 
799,Ático,111,250.000,3 ,2 
800,Piso,119,219.550,3 ,2 
801,Piso,119,219.550,3 ,2 
802,Casa,411,437.000,8 ,3 
803,Chalet,245,340.000,4 ,2 
804,Casa,166,669.500,4 ,2 
805,Piso,100,185.000,3 ,2 
806,Piso,100,185.000,3 ,2 
807,Piso,100,185.000,3 ,2 
808,Piso,100,185.000,3 ,2 
809,Casa,200,262.000,6 ,2 
810,Casa,170,299.000,5 ,2 
811,Casa,260,340.000,4 ,2 
812,Casa,260,340.000,4 ,2 
813,Casa,260,340.000,4 ,2 
814,Planta,73,159.000,2 ,1 
815,Planta,73,159.000,2 ,1 
816,Planta,73,159.000,2 ,1 
817,Casa,336,380.000,4 ,3 
818,Planta,73,159.000,2 ,1 
819,Casa,188,299.000,5 ,2 
820,Planta,73,159.000,2 ,1 
821,Piso,119,219.550,3 ,2 
822,Planta,73,159.000,2 ,1 
823,Piso,100,170.000,4 ,1 
824,Planta,73,159.000,2 ,1 
825,Casa,243,420.000,5 ,2 
826,Casa,130,272.000,4 ,2 
827,Casa,198,285.000,3 ,2 
828,Planta,125,225.000,3 ,2 
829,Casa,238,280.000,5 ,2 
830,Casa,320,340.000,4 ,2 
831,Piso,145,182.000,2 ,1 
832,Casa,197,285.000,4 ,2 
833,Casa,131,340.000,4 ,3 
834,Piso,70,115.000,3 ,1 
835,Piso,70,115.000,2 ,1 
836,Piso,72,170.000,2 ,1 
837,Planta,73,159.000,2 ,1 
838,Casa,201,345.000,4 ,3 
839,Casa,306,299.000,7 ,3 
840,Casa,306,299.000,7 ,3 
841,Casa,306,340.000,7 ,3 
842,Casa,306,299.000,7 ,3 
843,Casa,306,299.000,7 ,3 
844,Piso,104,178.000,4 ,2 
845,Casa,200,190.000,0,0
846,CASA,142,440.000,0,0
